class,name,price,etl_date,tdp,cooling_method,model
電源供應器,海韻 FOCUS GM-550(550W) 金牌/半模組/7年保,2290,2024-03-03,550,,
電源供應器,海韻 FOCUS GM-650(650W) 金牌/半模組/7年保,2590,2024-03-03,650,,
電源供應器,海韻 FOCUS GM-750(750W) 金牌/半模組/7年保,2890,2024-03-03,750,,
電源供應器,海韻 FOCUS GX-550(550W) 雙8/金牌/全模組/10年保,2690,2024-03-03,550,,
電源供應器,海韻 FOCUS GX-650(650W) 雙8/金牌/全模組/10年保,3090,2024-03-03,650,,
電源供應器,海韻 FOCUS GX-750(750W) 雙8/金牌/全模組/10年保,3390,2024-03-03,750,,
電源供應器,海韻 FOCUS GX-750(750W) 白色版 雙8/金牌/全模組/10年保,3490,2024-03-03,750,,
電源供應器,海韻 FOCUS GX-850(850W) 雙8/金牌/全模組/10年保,3890,2024-03-03,850,,
電源供應器,海韻 FOCUS GX-850(850W) 白色版 雙8/金牌/全模組/10年保,3990,2024-03-03,850,,
電源供應器,海韻 FOCUS GX-1000(1000W) 雙8/金牌/全模組/10年保,5090,2024-03-03,1000,,
電源供應器,海韻 FOCUS GX-1000(1000W) 白色版 雙8/金牌/全模組/10年保,5190,2024-03-03,1000,,
電源供應器,海韻 FOCUS GX-750 ATX3.0(750W) 雙8/金牌/全模組/PCIe 5.0/10年保,3790,2024-03-03,750,,
電源供應器,海韻 FOCUS GX-750 ATX3.0(750W) 白色版 雙8/金牌/全模組/PCIe 5.0/10年保,3990,2024-03-03,750,,
電源供應器,海韻 FOCUS GX-850 ATX3.0(850W) 雙8/金牌/全模組/PCIe 5.0/10年保,4290,2024-03-03,850,,
電源供應器,海韻 FOCUS GX-850 ATX3.0(850W) 白色版 雙8/金牌/全模組/PCIe 5.0/10年保,4490,2024-03-03,850,,
電源供應器,海韻 FOCUS GX-1000 ATX3.0(1000W) 雙8/金牌/全模組/PCIe 5.0/10年保,5490,2024-03-03,1000,,
電源供應器,海韻 FOCUS GX-1000 ATX3.0(1000W) 白色版 雙8/金牌/全模組/PCIe 5.0/10年保,5690,2024-03-03,1000,,
電源供應器,海韻 FOCUS PX-750(750W) 雙8/白金/全模組/10年保,4290,2024-03-03,750,,
電源供應器,海韻 FOCUS PX-850(850W) 雙8/白金/全模組/10年保,4790,2024-03-03,850,,
電源供應器,海韻 PRIME GX-750(750W) 雙8/金牌/全模組/12年保,4990,2024-03-03,750,,
電源供應器,海韻 PRIME GX-850(850W) 雙8/金牌/全模組/12年保,5790,2024-03-03,850,,
電源供應器,海韻 PRIME GX-1000(1000W) 雙8/金牌/全模組/12年保,6890,2024-03-03,1000,,
電源供應器,海韻 PRIME PX-750(750W) 雙8/白金/全模組/12年保,5790,2024-03-03,750,,
電源供應器,海韻 PRIME PX-850(850W) 雙8/白金/全模組/12年保,6890,2024-03-03,850,,
電源供應器,海韻 PRIME PX-1000(1000W) 雙8/白金/全模組/12年保,7990,2024-03-03,1000,,
電源供應器,海韻 PRIME PX-1300(1300W) 雙8/白金/全模組/12年保,9390,2024-03-03,1300,,
電源供應器,海韻 PRIME PX-1600 ATX3.0(1600W) 雙8/白金/全模組/PCIe 5.0/12年保,16490,2024-03-03,1600,,
電源供應器,海韻 PRIME TX-850(850W) 雙8/鈦金/全模組/12年保,8090,2024-03-03,850,,
電源供應器,海韻 PRIME TX-1000(1000W) 雙8/鈦金/全模組/12年保,9790,2024-03-03,1000,,
電源供應器,海韻 PRIME TX-1300 ATX3.0(1300W) 雙8/鈦金/全模組/PCIe 5.0/12年保,16490,2024-03-03,1300,,
