class,name,price,etl_date,brand,tdp,rpm,type,model
散熱器｜散熱墊｜散熱膏,be quiet! DARK ROCK PRO 5 /7導管/高度16.8cm/速度切換開關/TDP:270W【WXHZ】,3290,2024-03-17,be,270W,Unknown,Unknown,be quiet! DARK ROCK PRO 5 /7導管/高度16.8cm/速度切換開關/TDP:270W【WXHZ】
散熱器｜散熱墊｜散熱膏,be quiet! DARK ROCK ELITE /7導管/高16.8/ARGB/速度切換開關/TDP:280W【WXHZ】,3690,2024-03-17,be,280W,Unknown,Unknown,be quiet! DARK ROCK ELITE /7導管/高16.8/ARGB/速度切換開關/TDP:280W【WXHZ】
散熱器｜散熱墊｜散熱膏,COUGAR FORZA 50 ESSENTIAL/4導管(6mm)/高15.5cm【WXHZ】▼下殺到 3/31 20:00,699,2024-03-17,COUGAR,Unknown,Unknown,Unknown,COUGAR FORZA 50 ESSENTIAL/4導管(6mm)/高15.5cm【WXHZ】▼下殺到 3/31 20:00
散熱器｜散熱墊｜散熱膏,COUGAR FORZA 50 /4導管(6mm)/高15.5cm/金屬上蓋/MHP120效能扇【WXHZ】,1490,2024-03-17,COUGAR,Unknown,Unknown,Unknown,COUGAR FORZA 50 /4導管(6mm)/高15.5cm/金屬上蓋/MHP120效能扇【WXHZ】
散熱器｜散熱墊｜散熱膏,COUGAR FORZA 85 ESSENTIAL/6導管(6mm)/高16cm/電鍍回流焊【WXHZ】,1390,2024-03-17,COUGAR,Unknown,Unknown,Unknown,COUGAR FORZA 85 ESSENTIAL/6導管(6mm)/高16cm/電鍍回流焊【WXHZ】
散熱器｜散熱墊｜散熱膏,COUGAR FORZA 85 /6導管(6mm)/高16cm/金屬上蓋/電鍍回流焊【WXHZ】,1990,2024-03-17,COUGAR,Unknown,Unknown,Unknown,COUGAR FORZA 85 /6導管(6mm)/高16cm/金屬上蓋/電鍍回流焊【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 LGA17XX-SS2 扣具 /支援AS AK TA PA120,60,2024-03-17,利民,Unknown,Unknown,Unknown,利民 LGA17XX-SS2 扣具 /支援AS AK TA PA120
散熱器｜散熱墊｜散熱膏,利民 AXP90-X47 下吹式 4導管(6mm)/高4.7/AGHP 逆重力導管【WXHZ】,950,2024-03-17,利民,Unknown,Unknown,Unknown,利民 AXP90-X47 下吹式 4導管(6mm)/高4.7/AGHP 逆重力導管【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 AXP90-X47 白化版 下吹式 4導管(6mm)/高4.7/AGHP 逆重力導管【WXHZ】,1050,2024-03-17,利民,Unknown,Unknown,Unknown,利民 AXP90-X47 白化版 下吹式 4導管(6mm)/高4.7/AGHP 逆重力導管【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 AXP120-X67 下吹式 6導管(6mm)/TL-C12015薄扇/高6.7【WXHZ】,1390,2024-03-17,利民,Unknown,Unknown,Unknown,利民 AXP120-X67 下吹式 6導管(6mm)/TL-C12015薄扇/高6.7【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Assassin X 120 R SE /4導管(6mm)/高14.8/AGHP3.0逆重力導管【WXHZ】,690,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Assassin X 120 R SE /4導管(6mm)/高14.8/AGHP3.0逆重力導管【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Assassin X 120 R SE ARGB 白化版/4導管(6mm)/高14.8/AGHP3.0導管【WXHZ】,850,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Assassin X 120 R SE ARGB 白化版/4導管(6mm)/高14.8/AGHP3.0導管【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Assassin Spirit 120 Plus V2 刺靈/4導管(6mm)/正反向雙扇/高15.4【WXHZ】,790,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Assassin Spirit 120 Plus V2 刺靈/4導管(6mm)/正反向雙扇/高15.4【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Burst Assassin 120 /6導管(6mm)/高15.4cm【WXHZ】,990,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Burst Assassin 120 /6導管(6mm)/高15.4cm【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Burst Assassin 120 ARGB /6導管(6mm)/高15.4cm【WXHZ】,1050,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Burst Assassin 120 ARGB /6導管(6mm)/高15.4cm【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Peerless Assassin 120 /6導管(6mm)/雙塔雙扇/高15.7cm【WXHZ】,1350,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Peerless Assassin 120 /6導管(6mm)/雙塔雙扇/高15.7cm【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Peerless Assassin 120 SE ARGB 白化版/6導管/雙塔雙扇/高15.5【WXHZ】,1490,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Peerless Assassin 120 SE ARGB 白化版/6導管/雙塔雙扇/高15.5【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Phantom Spirit 120 /7導管(6mm)/雙塔雙扇/高15.7cm/陽極黑上蓋【WXHZ】,1490,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Phantom Spirit 120 /7導管(6mm)/雙塔雙扇/高15.7cm/陽極黑上蓋【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Phantom Spirit 120 EVO /7導管(6mm)/雙塔雙扇(ARGB)/高15.7/全黑化【WXHZ】,1890,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Phantom Spirit 120 EVO /7導管(6mm)/雙塔雙扇(ARGB)/高15.7/全黑化【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Frost Commander 140 /5導管(8mm)/12+14雙扇/雙塔/高16【WXHZ】,1990,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Frost Commander 140 /5導管(8mm)/12+14雙扇/雙塔/高16【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Frost Commander 140 白化版/5導管/12+14雙扇/雙塔/高16【WXHZ】,2290,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Frost Commander 140 白化版/5導管/12+14雙扇/雙塔/高16【WXHZ】
散熱器｜散熱墊｜散熱膏,利民 Silver Soul 135 /6導管(6mm)/雙塔/高13.5cm/電鍍回流焊【WXHZ】,1590,2024-03-17,利民,Unknown,Unknown,Unknown,利民 Silver Soul 135 /6導管(6mm)/雙塔/高13.5cm/電鍍回流焊【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG400 /4導管(6mm)/高15cm【WXHZ】,690,2024-03-17,DEEPCOOL,Unknown,Unknown,Unknown,DEEPCOOL AG400 /4導管(6mm)/高15cm【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG400 PLUS /4導管(6mm)/雙風扇/高15cm/TDP:220W【WXHZ】,890,2024-03-17,DEEPCOOL,220W,Unknown,氣冷式,DEEPCOOL AG400 PLUS /4導管(6mm)/雙風扇/高15cm/TDP:220W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG400 ARGB /4導管(6mm)/高15cm/TDP:220W【WXHZ】,890,2024-03-17,DEEPCOOL,220W,Unknown,Unknown,DEEPCOOL AG400 ARGB /4導管(6mm)/高15cm/TDP:220W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AG400 WH ARGB 白化版/4導管(6mm)/高15cm/TDP:220W【WXHZ】,990,2024-03-17,DEEPCOOL,220W,Unknown,Unknown,DEEPCOOL AG400 WH ARGB 白化版/4導管(6mm)/高15cm/TDP:220W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AK400 PINK LIMITED /4導管/高15.6/TDP:220W【WXHZ】,1290,2024-03-17,DEEPCOOL,220W,Unknown,Unknown,DEEPCOOL AK400 PINK LIMITED /4導管/高15.6/TDP:220W【WXHZ】
散熱器｜散熱墊｜散熱膏,DEEPCOOL AK400 DIGITAL /4導管/高15.6/溫度顯示/TDP:220W【WXHZ】,1690,2024-03-17,DEEPCOOL,220W,Unknown,Unknown,DEEPCOOL AK400 DIGITAL /4導管/高15.6/溫度顯示/TDP:220W【WXHZ】
