class,name,price,etl_date,brand,capacity,drive_type,read_speed,write_speed,model,id,capacity_value,capacity_unit,cut_name
固態硬碟 M.2｜SSD,UMAX M1500 4TB/Gen4 PCIe 4.0/讀:7200M/寫:6850M【五年】DRAM快取/銅箔散熱片,8500,2024-03-12,UMAX M,4TB,SSD,7200.0,6850.0,UMAX M1500,UMAX M1500,4000.0,GB,UMAX M1500
固態硬碟 M.2｜SSD,SK 海力士 Platinum P41 500G/Gen4 PCIE 4.0/讀:7000/寫:4700/DRAM快取(五年),1699,2024-03-12,SK 海力士 Platinum P,,SSD,7000.0,4700.0,Platinum P41,Platinum P41,,,SK 海力士 Platinum P41 500G
固態硬碟 M.2｜SSD,SK 海力士 Platinum P41 1TB/Gen4 PCIE 4.0/讀:7000/寫:6500/DRAM快取(五年),2750,2024-03-12,SK 海力士 Platinum P,1TB,SSD,7000.0,6500.0,Platinum P41,Platinum P41,1000.0,GB,SK 海力士 Platinum P41 1TB
固態硬碟 M.2｜SSD,SK 海力士 Platinum P41 2TB/Gen4 PCIE 4.0/讀:7000/寫:6500/DRAM快取(五年),4999,2024-03-12,SK 海力士 Platinum P,2TB,SSD,7000.0,6500.0,Platinum P41,Platinum P41,2000.0,GB,SK 海力士 Platinum P41
固態硬碟 M.2｜SSD,KLEVV CRAS C910 500G/Gen4 PCIe 4.0/讀:5000/寫:3700/TLC【五年】輕薄鋁散熱片,1399,2024-03-12,KLEVV CRAS C,,SSD,5000.0,3700.0,CRAS C910,CRAS C910,,,KLEVV CRAS C910
固態硬碟 M.2｜SSD,KLEVV CRAS C910 1TB/Gen4 PCIe 4.0/讀:5000/寫:4800/TLC【五年】輕薄鋁散熱片,1999,2024-03-12,KLEVV CRAS C,1TB,SSD,5000.0,4800.0,CRAS C910,CRAS C910,1000.0,GB,KLEVV CRAS C910
固態硬碟 M.2｜SSD,KLEVV CRAS C930 1TB/Gen4 PCIe 4.0/讀:7400M/寫:6400M DRAM快取/鰭狀鋁散熱片,2499,2024-03-12,KLEVV CRAS C,1TB,SSD,7400.0,6400.0,CRAS C930,CRAS C930,1000.0,GB,KLEVV CRAS C930
固態硬碟 M.2｜SSD,威剛 ADATA LEGEND 850 512GB/Gen4 PCIe 4.0/讀:5000M/寫:2700M/五年保/贈散熱片 少量,1090,2024-03-12,威剛 ADATA LEGEND,512GB,SSD,5000.0,2700.0,ADATA LEGEND 850,ADATA LEGEND 850,512.0,GB,ADATA LEGEND 850 512GB
固態硬碟 M.2｜SSD,威剛 XPG S70BLADE 512G/Gen4/讀:7200M/寫:2600M/ DRAM快取/五年/贈散熱片,1599,2024-03-12,威剛 XPG S,,SSD,7200.0,2600.0,XPG S70BLADE,XPG S70BLADE,,,威剛 XPG S70BLADE 512G
固態硬碟 M.2｜SSD,威剛 XPG S70BLADE 1T/Gen4/讀:7400M/寫:5500M/ DRAM快取/五年/贈散熱片,2599,2024-03-12,威剛 XPG S,,SSD,7400.0,5500.0,XPG S70BLADE,XPG S70BLADE,,,威剛 XPG S70BLADE 1T
固態硬碟 M.2｜SSD,威剛 XPG S70BLADE 2T/Gen4/讀:7400M/寫:6400M/ DRAM快取/五年/贈散熱片,4479,2024-03-12,威剛 XPG S,,SSD,7400.0,6400.0,XPG S70BLADE,XPG S70BLADE,,,威剛 XPG S70BLADE 2T
固態硬碟 M.2｜SSD,威剛 XPG S70PRO 1TB黑/Gen4/讀:7400/寫:6000/SMI主控/DRAM快取/五年/贈散熱片,2699,2024-03-12,威剛 XPG S,1TB,SSD,7400.0,6000.0,XPG S70PRO,XPG S70PRO,1000.0,GB,威剛 XPG S70PRO 1TB
固態硬碟 M.2｜SSD,威剛 XPG S70PRO 2TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,4599,2024-03-12,威剛 XPG S,2TB,SSD,7400.0,6800.0,XPG S70PRO,XPG S70PRO,2000.0,GB,威剛 XPG S70PRO 2TB
固態硬碟 M.2｜SSD,威剛 XPG S70PRO 4TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,8999,2024-03-12,威剛 XPG S,4TB,SSD,7400.0,6800.0,XPG S70PRO,XPG S70PRO,4000.0,GB,威剛 XPG S70PRO 4TB黑
固態硬碟 M.2｜SSD,威剛 XPG S70PRO 1TB白/Gen4/讀:7400/寫:6000/SMI主控/DRAM快取/五年/贈散熱片,2699,2024-03-12,威剛 XPG S,1TB,SSD,7400.0,6000.0,XPG S70PRO,XPG S70PRO,1000.0,GB,威剛 XPG S70PRO 1TB
固態硬碟 M.2｜SSD,威剛 XPG S70PRO 2TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,4599,2024-03-12,威剛 XPG S,2TB,SSD,7400.0,6800.0,XPG S70PRO,XPG S70PRO,2000.0,GB,威剛 XPG S70PRO 2TB
固態硬碟 M.2｜SSD,威剛 XPG S70PRO 4TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,8999,2024-03-12,威剛 XPG S,4TB,SSD,7400.0,6800.0,XPG S70PRO,XPG S70PRO,4000.0,GB,威剛 XPG S70PRO 4TB
