class,name,price,etl_date,model,brand,performance,base_clock,boost_clock,cut_name
處理器 CPU,Intel Processor 300【2核/4緒】3.9GHz/6M/UHD710/46W,2990,2024-03-17,Intel Processor,Intel,2核/4緒,3.9,3.9,Intel Processor 300
處理器 CPU,Intel i3-14100F【4核/8緒】3.5GHz(↑4.7GHz)/12M/無內顯/58W 【】,3990,2024-03-17,Intel i3-14100F,Intel,4核/8緒,3.5,4.7,Intel i3-14100F
處理器 CPU,Intel i3-14100【4核/8緒】3.5GHz(↑4.7GHz)/12M/UHD730/60W 【】,4800,2024-03-17,Intel i3-14100,Intel,4核/8緒,3.5,4.7,Intel i3-14100
處理器 CPU,Intel i5-14400F【10核/16緒】2.5GHz(↑4.7G)/20M/無內顯/65W 【】,6800,2024-03-17,Intel i5-14400F,Intel,10核/16緒,2.5,4.7,Intel i5-14400F
處理器 CPU,Intel i5-14400【10核/16緒】2.5GHz(↑4.7G)/20M/UHD730/65W 【】,7600,2024-03-17,Intel i5-14400,Intel,10核/16緒,2.5,4.7,Intel i5-14400
處理器 CPU,Intel i5-14500【14核/20緒】2.6GHz(↑5G)/24M/UHD770/65W 【】,7800,2024-03-17,Intel i5-14500,Intel,14核/20緒,2.6,5.0,Intel i5-14500
處理器 CPU,Intel i5-14600KF【14核/20緒】3.5G(↑5.3G)/24M/無內顯/無風扇【】,9600,2024-03-17,Intel i5-14600KF,Intel,14核/20緒,3.5,5.3,Intel i5-14600KF
處理器 CPU,Intel i5-14600K【14核/20緒】3.5G(↑5.3G)/24M/UHD770/無風扇【】,10150,2024-03-17,Intel i5-14600K,Intel,14核/20緒,3.5,5.3,Intel i5-14600K
處理器 CPU,Intel i7-14700F【20核/28緒】2.1GHz(↑5.4G)/33M/無內顯/65W 【】,12000,2024-03-17,Intel i7-14700F,Intel,20核/28緒,2.1,5.4,Intel i7-14700F
處理器 CPU,Intel i7-14700【20核/28緒】2.1GHz(↑5.4G)/33M/UHD770/65W 【】,12900,2024-03-17,Intel i7-14700,Intel,20核/28緒,2.1,5.4,Intel i7-14700
